 R(m), ne(m^-3), ni(m^_3), B_T (T) , B_P (T),  B(T), Sfac, T(keV), Pressure
  3.012940E+00  2.493637E-01  3.023242E+00
  1.868455E+00  2.343343E+01  9.072015E+05
  8.146427E-01  1.292827E+20  1.078059E+20
  2.995431E+00  2.764294E-01  3.008159E+00
  1.877254E+00  2.330713E+01  8.979718E+05
  8.196427E-01  1.290047E+20  1.075859E+20
  2.978196E+00  3.037582E-01  2.993647E+00
  1.887195E+00  2.316732E+01  8.878447E+05
  8.246427E-01  1.287005E+20  1.073445E+20
  2.961205E+00  3.313314E-01  2.979684E+00
  1.897668E+00  2.301384E+01  8.768361E+05
  8.296427E-01  1.283704E+20  1.070813E+20
  2.944467E+00  3.591290E-01  2.966287E+00
  1.908786E+00  2.284658E+01  8.649660E+05
  8.346427E-01  1.280143E+20  1.067963E+20
  2.927914E+00  3.871274E-01  2.953396E+00
  1.921450E+00  2.266543E+01  8.522590E+05
  8.396427E-01  1.276326E+20  1.064893E+20
  2.911605E+00  4.153042E-01  2.941074E+00
  1.935355E+00  2.247032E+01  8.387439E+05
  8.446427E-01  1.272254E+20  1.061602E+20
  2.895403E+00  4.436315E-01  2.929192E+00
  1.950031E+00  2.226121E+01  8.244537E+05
  8.496427E-01  1.267931E+20  1.058091E+20
  2.879417E+00  4.720886E-01  2.917861E+00
  1.965564E+00  2.203810E+01  8.094258E+05
  8.546427E-01  1.263361E+20  1.054358E+20
  2.863492E+00  5.006940E-01  2.906937E+00
  1.981190E+00  2.180100E+01  7.937005E+05
  8.596427E-01  1.258550E+20  1.050406E+20
  2.847698E+00  5.294508E-01  2.896498E+00
  1.997099E+00  2.154995E+01  7.773198E+05
  8.646427E-01  1.253501E+20  1.046234E+20
  2.831979E+00  5.583224E-01  2.886491E+00
  2.013009E+00  2.128499E+01  7.603292E+05
  8.696427E-01  1.248222E+20  1.041844E+20
  2.816269E+00  5.872630E-01  2.876847E+00
  2.029531E+00  2.100623E+01  7.427779E+05
  8.746427E-01  1.242718E+20  1.037237E+20
  2.800665E+00  6.162368E-01  2.867660E+00
  2.046810E+00  2.071382E+01  7.247182E+05
  8.796427E-01  1.236998E+20  1.032418E+20
  2.784966E+00  6.452041E-01  2.858728E+00
  2.064367E+00  2.040794E+01  7.062048E+05
  8.846427E-01  1.231070E+20  1.027388E+20
  2.769305E+00  6.741246E-01  2.850174E+00
  2.082610E+00  2.008885E+01  6.872947E+05
  8.896427E-01  1.224943E+20  1.022153E+20
  2.753633E+00  7.029735E-01  2.841947E+00
  2.101487E+00  1.975682E+01  6.680465E+05
  8.946427E-01  1.218626E+20  1.016717E+20
  2.737822E+00  7.317176E-01  2.833916E+00
  2.120764E+00  1.941216E+01  6.485192E+05
  8.996427E-01  1.212130E+20  1.011084E+20
  2.722004E+00  7.603315E-01  2.826200E+00
  2.140600E+00  1.905525E+01  6.287728E+05
  9.046427E-01  1.205464E+20  1.005262E+20
  2.706064E+00  7.887989E-01  2.818685E+00
  2.160740E+00  1.868648E+01  6.088665E+05
  9.096427E-01  1.198638E+20  9.992548E+19
  2.689957E+00  8.171006E-01  2.811320E+00
  2.180904E+00  1.830629E+01  5.888592E+05
  9.146427E-01  1.191664E+20  9.930702E+19
  2.673771E+00  8.452281E-01  2.804186E+00
  2.201257E+00  1.791515E+01  5.688081E+05
  9.196427E-01  1.184553E+20  9.867149E+19
  2.657387E+00  8.731779E-01  2.797167E+00
  2.221332E+00  1.751357E+01  5.487689E+05
  9.246427E-01  1.177313E+20  9.801958E+19
  2.640763E+00  9.009477E-01  2.790222E+00
  2.240691E+00  1.710209E+01  5.287950E+05
  9.296427E-01  1.169956E+20  9.735204E+19
  2.623985E+00  9.285435E-01  2.783431E+00
  2.259644E+00  1.668126E+01  5.089373E+05
  9.346427E-01  1.162491E+20  9.666958E+19
  2.606968E+00  9.559769E-01  2.776720E+00
  2.277786E+00  1.625170E+01  4.892437E+05
  9.396427E-01  1.154928E+20  9.597295E+19
  2.589586E+00  9.832601E-01  2.769974E+00
  2.294054E+00  1.581400E+01  4.697591E+05
  9.446427E-01  1.147275E+20  9.526285E+19
  2.571963E+00  1.010410E+00  2.763318E+00
  2.309083E+00  1.536883E+01  4.505251E+05
  9.496427E-01  1.139540E+20  9.453997E+19
  2.554070E+00  1.037448E+00  2.756733E+00
  2.322682E+00  1.491686E+01  4.315800E+05
  9.546427E-01  1.131729E+20  9.380495E+19
  2.535693E+00  1.064396E+00  2.750033E+00
  2.333502E+00  1.445878E+01  4.129584E+05
  9.596427E-01  1.123848E+20  9.305834E+19
  2.516944E+00  1.091273E+00  2.743335E+00
  2.342419E+00  1.399532E+01  3.946917E+05
  9.646427E-01  1.115900E+20  9.230060E+19
  2.497830E+00  1.118100E+00  2.736659E+00
  2.349409E+00  1.352724E+01  3.768077E+05
  9.696427E-01  1.107887E+20  9.153207E+19
  2.478284E+00  1.144897E+00  2.729960E+00
  2.354007E+00  1.305533E+01  3.593310E+05
  9.746427E-01  1.099809E+20  9.075289E+19
  2.458120E+00  1.171676E+00  2.723083E+00
  2.355715E+00  1.258042E+01  3.422829E+05
  9.796427E-01  1.091659E+20  8.996295E+19
  2.437502E+00  1.198438E+00  2.716186E+00
  2.355443E+00  1.210337E+01  3.256815E+05
  9.846427E-01  1.083431E+20  8.916183E+19
  2.416405E+00  1.225187E+00  2.709261E+00
  2.353319E+00  1.162510E+01  3.095422E+05
  9.896427E-01  1.075108E+20  8.834865E+19
  2.394753E+00  1.251915E+00  2.702246E+00
  2.349447E+00  1.114657E+01  2.938771E+05
  9.946427E-01  1.066671E+20  8.752199E+19
  2.372430E+00  1.278592E+00  2.695036E+00
  2.343823E+00  1.066881E+01  2.786956E+05
  9.996427E-01  1.058087E+20  8.667962E+19
  2.349599E+00  1.305175E+00  2.687768E+00
  2.337366E+00  1.019289E+01  2.640044E+05
  1.004643E+00  1.049313E+20  8.581831E+19
  2.326257E+00  1.331620E+00  2.680426E+00
  2.330368E+00  9.719976E+00  2.498072E+05
  1.009643E+00  1.040289E+20  8.493346E+19
  2.302382E+00  1.357867E+00  2.672970E+00
  2.323219E+00  9.251276E+00  2.361046E+05
  1.014643E+00  1.030934E+20  8.401867E+19
  2.277928E+00  1.383817E+00  2.665315E+00
  2.316854E+00  8.788085E+00  2.228937E+05
  1.019643E+00  1.021137E+20  8.306516E+19
  2.253083E+00  1.409354E+00  2.657567E+00
  2.311836E+00  8.331776E+00  2.101681E+05
  1.024643E+00  1.010752E+20  8.206106E+19
  2.227897E+00  1.434371E+00  2.649706E+00
  2.308663E+00  7.883791E+00  1.979166E+05
  1.029643E+00  9.995828E+19  8.099034E+19
  2.202428E+00  1.458748E+00  2.641710E+00
  2.307869E+00  7.445627E+00  1.861224E+05
  1.034643E+00  9.873718E+19  7.983165E+19
  2.176815E+00  1.482320E+00  2.633590E+00
  2.311767E+00  7.018819E+00  1.747615E+05
  1.039643E+00  9.737799E+19  7.855682E+19
  2.151232E+00  1.504905E+00  2.625365E+00
  2.320285E+00  6.604930E+00  1.638015E+05
  1.044643E+00  9.583660E+19  7.712895E+19
  2.125807E+00  1.526350E+00  2.617021E+00
  2.334199E+00  6.205485E+00  1.531983E+05
  1.049643E+00  9.405612E+19  7.550024E+19
  2.100684E+00  1.546507E+00  2.608554E+00
  2.354527E+00  5.821888E+00  1.428931E+05
  1.054643E+00  9.196403E+19  7.360959E+19
  2.076089E+00  1.565229E+00  2.600017E+00
  2.383109E+00  5.455286E+00  1.328073E+05
  1.059643E+00  8.946957E+19  7.138031E+19
  2.052433E+00  1.582363E+00  2.591593E+00
  2.423478E+00  5.106354E+00  1.228378E+05
  1.064643E+00  8.646154E+19  6.871833E+19
  2.029737E+00  1.597796E+00  2.583174E+00
  2.475523E+00  4.774939E+00  1.128495E+05
  1.069643E+00  8.280775E+19  6.551177E+19
  2.008193E+00  1.611485E+00  2.574825E+00
  2.541486E+00  4.459432E+00  1.026684E+05
  1.074643E+00  7.835720E+19  6.163308E+19
  1.987993E+00  1.623442E+00  2.566647E+00
  2.624104E+00  4.155780E+00  9.207551E+04
  1.079643E+00  7.294692E+19  5.694571E+19
  1.969318E+00  1.633733E+00  2.558769E+00
  2.726820E+00  3.855918E+00  8.081151E+04
  1.084643E+00  6.641412E+19  5.131693E+19
  1.952328E+00  1.642473E+00  2.551333E+00
  2.854288E+00  3.545493E+00  6.860495E+04
  1.089643E+00  5.861169E+19  4.463860E+19
  1.937263E+00  1.649773E+00  2.544551E+00
  3.015740E+00  3.201124E+00  5.525748E+04
  1.094643E+00  4.941579E+19  3.685552E+19
  1.923927E+00  1.655627E+00  2.538227E+00
  3.217110E+00  2.788742E+00  4.083359E+04
  1.099643E+00  3.869500E+19  2.799860E+19
  1.912195E+00  1.659675E+00  2.531997E+00
  3.468632E+00  2.267387E+00  2.599107E+04
  1.104643E+00  2.620916E+19  1.821533E+19
  1.901855E+00  1.660953E+00  2.525038E+00
  3.785742E+00  1.605939E+00  1.237704E+04
  1.109643E+00  1.164936E+19  7.785069E+18
  1.892583E+00  1.657843E+00  2.516011E+00
  4.189976E+00  8.151723E-01  2.753688E+03
